labels,predictions
24,24
26,26
20,20
20,20
3,3
21,21
7,7
19,19
12,12
3,15
12,12
21,21
15,15
4,4
4,4
9,9
23,23
24,24
12,12
20,20
21,21
12,12
3,23
4,4
3,3
21,21
21,21
19,19
24,24
20,9
12,20
21,21
20,9
12,12
2,2
12,20
22,4
12,12
5,5
19,19
9,9
3,19
24,9
22,22
12,20
12,12
12,12
4,4
9,9
12,12
12,12
12,12
21,12
9,20
23,23
21,4
26,26
9,9
14,14
12,12
12,12
3,3
12,12
21,9
24,24
23,23
12,21
23,23
23,23
24,24
12,12
7,7
4,13
24,24
24,24
23,4
20,7
12,12
4,4
21,4
21,12
14,14
9,9
12,12
9,9
4,4
4,23
23,23
4,4
26,26
21,15
5,5
24,24
24,24
21,21
23,23
24,24
12,12
11,11
21,20
20,20
24,24
4,4
20,20
24,20
9,7
24,21
21,21
4,4
12,12
11,11
12,12
20,20
14,5
21,21
21,21
4,4
24,24
4,4
3,15
23,23
9,9
4,4
23,13
13,11
9,15
12,12
24,24
4,4
21,23
23,23
7,7
9,15
12,4
12,12
12,12
4,4
21,23
20,20
12,12
3,26
12,21
5,5
0,5
12,20
23,9
23,4
12,20
8,8
0,0
21,4
12,12
3,3
12,4
21,24
14,19
9,15
3,19
12,12
0,9
15,15
21,21
3,3
3,3
21,21
23,23
21,21
24,24
20,7
13,13
24,24
17,17
20,9
25,25
10,10
7,7
4,4
12,12
24,24
9,9
24,20
9,9
9,9
8,8
12,12
24,24
21,12
12,12
3,3
23,23
21,20
12,12
0,19
12,12
9,7
21,21
3,3
21,12
9,0
7,7
9,9
7,7
0,19
12,12
8,8
26,26
5,5
10,15
20,20
3,24
20,20
21,21
24,24
23,23
5,5
21,21
20,20
5,5
5,5
17,17
4,4
12,12
4,4
21,21
12,12
12,23
24,24
3,24
20,20
21,21
22,22
12,12
19,19
21,12
15,15
3,24
0,9
22,22
21,12
21,21
12,9
8,8
12,12
4,4
12,12
21,21
3,9
21,23
22,23
9,9
21,21
4,4
19,19
19,19
1,0
5,5
20,20
3,20
12,12
22,4
20,7
21,21
20,20
12,20
20,12
21,21
24,24
21,12
15,15
3,3
23,23
12,12
0,0
23,12
9,7
19,19
9,12
3,3
11,11
21,21
3,3
21,21
22,23
3,3
20,20
0,5
9,9
6,6
9,15
23,23
17,17
20,20
9,9
7,7
21,21
4,4
4,4
9,9
20,20
23,4
8,8
0,5
8,8
12,12
21,21
21,21
21,21
4,4
7,7
12,20
21,12
12,20
21,12
9,9
12,12
21,4
4,23
11,11
9,9
3,24
21,21
21,21
0,5
12,12
9,9
11,11
14,14
9,7
25,7
3,15
16,23
23,4
22,4
9,9
21,21
0,5
12,9
12,15
12,12
3,9
20,20
12,12
23,4
12,12
12,12
12,12
9,9
21,21
3,3
24,24
8,8
20,20
15,15
10,10
12,23
4,13
9,9
9,7
15,15
3,3
4,4
12,12
12,20
12,12
23,4
5,5
21,21
9,9
3,3
12,12
16,20
13,13
7,7
22,4
9,9
23,23
11,8
9,7
10,7
12,12
5,5
20,20
21,21
20,20
3,15
23,23
21,21
8,11
15,15
24,20
5,5
23,23
6,6
20,20
23,23
24,24
12,20
15,23
4,4
9,9
14,25
0,5
12,12
2,2
9,20
7,7
12,12
15,15
20,20
9,9
12,12
8,11
25,25
10,15
4,4
21,21
14,14
12,12
15,15
7,7
9,9
20,20
0,0
7,7
15,15
15,15
23,4
19,19
11,11
21,23
12,12
20,20
21,23
20,9
7,7
17,17
5,5
21,21
12,11
4,4
12,20
9,9
9,9
15,15
21,21
12,12
12,12
23,23
17,17
9,15
21,21
21,23
4,4
3,12
12,12
23,23
15,15
4,4
21,20
18,18
0,7
12,12
12,12
0,0
12,12
20,20
12,12
12,12
12,12
20,20
4,4
12,12
23,23
22,4
9,9
21,12
15,15
0,0
23,23
4,4
4,4
20,20
20,15
24,11
7,7
23,23
21,21
22,4
14,5
15,15
20,20
6,19
21,23
23,23
12,12
21,21
24,24
20,15
0,0
20,20
23,4
13,4
19,19
26,26
21,21
20,20
12,12
23,23
23,23
9,9
20,20
9,9
9,9
23,23
9,9
20,20
21,21
12,12
11,11
8,8
24,24
24,23
24,24
23,21
9,10
3,8
9,9
9,9
12,12
0,5
23,23
21,4
23,23
20,0
12,12
7,7
23,23
23,23
0,7
0,0
15,15
0,0
12,9
9,9
24,24
23,23
24,24
21,21
12,12
4,4
21,23
21,21
11,8
9,7
2,7
6,21
22,13
21,12
9,9
26,26
20,15
16,21
21,21
12,12
24,23
3,3
9,7
3,3
3,3
3,3
21,23
3,24
20,12
12,12
14,14
13,13
12,15
9,15
7,7
23,23
1,0
4,4
7,7
0,7
9,20
12,12
12,12
9,9
19,9
9,7
24,24
9,7
21,4
15,15
3,3
20,20
12,12
21,21
12,9
3,15
12,12
17,4
12,12
0,5
12,20
0,0
17,17
21,21
12,12
23,23
24,22
20,12
19,19
3,3
17,17
23,23
26,26
9,9
21,20
26,26
23,23
5,5
23,23
21,21
23,24
15,15
22,22
24,24
20,20
8,17
12,21
23,23
9,7
14,14
9,9
21,21
24,14
0,5
9,9
21,20
4,4
23,23
20,20
12,12
21,4
21,21
3,19
23,23
20,12
21,21
23,23
24,15
12,12
3,3
9,24
20,18
12,21
12,12
12,23
23,23
20,20
12,23
5,5
20,7
6,6
24,24
12,12
3,3
12,9
12,12
20,20
23,23
20,20
9,9
12,20
23,23
13,13
0,0
12,12
9,9
23,23
20,20
21,21
15,15
12,12
20,20
20,15
21,15
9,9
0,7
9,21
21,4
14,5
20,20
3,9
12,12
22,22
21,21
4,4
21,21
3,3
13,13
14,14
4,4
0,0
21,21
20,20
12,12
11,17
14,14
13,17
24,24
11,11
12,12
5,5
15,15
12,21
7,7
14,5
12,12
3,23
12,12
9,24
24,24
12,20
23,23
17,17
20,20
9,15
12,12
11,11
12,12
23,23
8,8
10,7
21,20
12,20
21,21
22,22
12,12
23,4
7,7
20,9
23,23
19,14
12,12
22,22
21,21
23,23
22,22
3,3
6,9
4,4
23,23
0,0
9,9
15,15
7,7
12,12
26,26
20,15
3,3
0,7
12,12
21,21
12,12
3,3
20,20
12,12
21,21
0,0
18,18
0,0
17,17
23,23
20,20
20,20
20,20
23,23
21,12
21,4
12,12
22,22
23,23
20,20
21,20
0,0
17,17
4,4
21,12
24,24
10,19
20,20
12,24
24,24
23,23
20,12
21,12
24,23
12,12
20,20
21,12
12,21
3,7
21,21
9,9
17,17
17,17
12,12
15,9
24,23
4,4
6,6
13,13
12,12
15,17
15,15
26,26
0,19
9,9
21,21
21,21
4,4
20,20
22,22
24,9
19,5
14,5
12,12
21,15
23,8
20,20
9,15
15,15
16,9
12,12
5,5
12,23
20,9
0,0
23,4
21,21
9,9
9,12
21,12
24,24
12,12
19,19
13,13
12,12
23,23
12,23
21,23
12,12
7,7
21,21
12,20
11,11
23,23
8,8
23,23
11,11
20,20
12,20
12,20
20,20
23,23
21,21
4,4
15,15
9,9
17,17
23,23
22,22
12,12
12,12
17,17
3,8
24,24
21,21
12,15
15,7
3,9
23,23
3,24
14,19
11,11
9,9
23,23
12,12
12,12
22,23
9,9
21,21
20,20
5,5
12,20
20,20
4,4
20,20
9,9
12,20
